Expression,Kana,Type,Accent,Chinese-Meaning,Verb-Type
Sweater,セーター,Noun,1,毛衣(sweater),-
Pocket,ポケット,Noun,2,口袋(pocket),-
Batao (Button),ボタン,Noun,0,釦子、鈕扣(botao)[葡],-
Skirt,スカート,Noun,2,裙子(skirt),-
Jupon (Trouser),ズボン,Noun,2,長褲、西裝褲(jupon)[法],-
Slipper,スリッパ,Noun,2,拖鞋(slipper),-
靴,くつ,Noun,2,鞋子,-
靴下,くつした,Noun,2,襪子,-
電気,でんき,Noun,1,電器,-
電話,でんわ,Noun,0,電話,-
冷蔵庫,れいぞうこ,Noun,3,冰箱,-
扇風機,せんぷうき,Noun,3,電風扇,-
洗濯機,せんたくき,Noun,4,洗衣機,-
炬燵,こたつ,Noun,0,日式暖桌、被爐,-
暖房,だんぼう,Noun,0,暖氣設備、暖爐,-
Television,テレビ,Noun,1,電視(television),-
Video,ビデオ,Noun,1,録像機(video),-
Radio,ラジオ,Noun,1,收音機(radio),-
Camera,カメラ,Noun,1,相機(camera),-
Personal Computer,パソコン,Noun,0,電腦(personalcomputer),-
Air Conditioner,エアコン,Noun,0,冷氣、空調(airconditioner),-
文房具,ぶんぼうぐ,Noun,3,文具,-
筆箱,ふでばこ,Noun,0,鉛筆盒,-
Pen,ペン,Noun,1,筆(pen),-
鉛筆,えんぴつ,Noun,0,鉛筆,-
Mechanical Pencil,シャープペンシル,Noun,4,自動鉛筆(mechanicalpencil),-
万年筆,まんねんひつ,Noun,3,鋼筆,-
Ball Pen,ボールペン,Noun,0,原子筆(ballpoint pen),-
消しゴム,けしゴム,Noun,0,擦子,-
定規,じょうぎ,Noun,1,尺,-
修正液,しゅうせいえき,Noun,3,修正液、立可白,-
Note,ノート,Noun,1,筆記本(note),-
紙,かみ,Noun,2,紙,-
手紙,てがみ,Noun,0,信、信紙,-
葉書,はがき,Noun,0,明信片,-
切手,きって,Noun,3,郵票,-
封筒,ふうとう,Noun,0,信封,-
Post,ポスト,Noun,1,郵筒(post),-
Page,ページ,Noun,0,頁(page),-
本,ほん,Noun,1,書,-
本棚,ほんだな,Noun,1,書架、書櫃,-
辞書,じしょ,Noun,1,字典,-
地図,ちず,Noun,1,地圖,-
暇,ひま,Noun,0,閒暇、有空,-
歌,うた,Noun,2,歌,-
絵,え,Noun,1,圖畫,-
休み,やすみ,Noun,3,休假、休息,-
映画,えいが,Noun,0,電影,-
音楽,おんがく,Noun,1,音樂,-
写真,しゃしん,Noun,0,照片,-
雑誌,ざっし,Noun,0,雜誌,-
新聞,しんぶん,Noun,0,報紙,-
水泳,すいえい,Noun,0,游泳,-
買い物,かいもの,Noun,0,買東西、買的物品,-
Camera,カメラ,Noun,1,相機,-
Guitar,ギター,Noun,1,吉他,-
Tennis,テニス,Noun,1,網球,-
Soccer,サッカー,Noun,1,足球,-
Sport,スポーツ,Noun,2,運動,-
Shower,シャワー,Noun,1,淋浴,-
News,ニュース,Noun,1,新聞,-
